user,event_date,logon_count,after_hours_logon_count,logon_pc_count,device_connect_count,after_hours_device_count,device_pc_count,file_count,unique_file_count,after_hours_file_count,usb_file_count,usb_executable_count,http_count,http_domain_count,after_hours_http_count,job_site_count,leak_site_count,keylogger_site_count,email_count,external_email_count,external_attachment_email_count,external_email_size,after_hours_email_count,mass_recipient_email_count,z_after_hours_logon_count,z_logon_pc_count,z_logon_count,z_after_hours_device_count,z_device_connect_count,z_usb_file_count,z_file_count,z_unique_file_count,z_after_hours_file_count,z_http_domain_count,z_after_hours_http_count,z_external_email_count,z_external_attachment_email_count,z_external_email_size,z_after_hours_email_count,z_mass_recipient_email_count,z_job_site_count,z_leak_site_count,z_keylogger_site_count,z_usb_executable_count,generic_score,hybrid_score
CAH0936,2010-08-18,4.0,2.0,2.0,7.0,7.0,1.0,19.0,19.0,19.0,15.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,104506.0,0.0,0.0,7.042890971334735,1.5347092180021604,1.5163837132680567,10.0,9.479234201595458,7.588593397314461,8.214046959287348,8.214046959287348,8.59250201905731,0.3057581137229488,0.0,0.9620112813479527,0.7254304490138422,0.8880040027770957,0.0,0.0,0.0,0.0,0.0,6.0,4.326961312713407,3.5071823111954004
BDV0168,2010-08-03,2.0,1.0,1.0,8.0,8.0,1.0,21.0,21.0,21.0,21.0,0.0,13.0,11.0,3.0,2.0,0.0,0.0,8.0,1.0,1.0,30021.0,0.0,0.0,4.798214540391232,0.6807456457050176,1.7940067206575017,8.689980151066829,8.689980151066829,8.578339279376813,8.578339279376813,8.578339279376813,8.578339279376813,1.1022198945129773,5.913484571067922,0.0,0.7911534122331645,0.5655659666120502,0.0,0.0,2.2052612475489606,0.0,0.0,0.0,4.3683330484005225,3.175887083043909
JRG0207,2011-01-20,2.0,1.0,1.0,7.0,7.0,1.0,10.0,10.0,10.0,10.0,0.0,10.0,6.0,4.0,0.0,0.0,0.0,5.0,1.0,0.0,33911.0,0.0,0.0,5.385164807134504,0.760885910252682,1.8367426591587075,7.2829318197008375,7.2829318197008375,8.004477864067892,8.004477864067892,8.004477864067892,8.004477864067892,0.7881322960313922,10.0,0.008434256913365168,0.0,0.805585803457005,0.0,0.0,0.0,0.0,0.0,0.0,4.237444219396477,2.9563564321370768
KLH0596,2011-02-07,2.0,1.0,1.0,9.0,9.0,1.0,26.0,26.0,26.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,19465.0,0.0,0.0,7.681145747868609,0.7337993857053429,1.8888489005454696,7.681145747868607,7.681145747868607,7.595892925448737,7.595892925448737,7.595892925448737,7.595892925448737,1.1694076003837484,0.0,2.7516228977511727,0.0,2.6194238910292102,0.0,0.0,0.0,0.0,0.0,0.0,4.1791051061844495,2.915654725244965
BTL0226,2010-10-08,3.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,75517.0,0.0,0.0,4.798214540391232,0.5560506811120997,1.2750518687759085,5.20187651435287,5.20187651435287,10.0,10.0,10.0,10.0,0.0,0.0,1.1804488554899597,0.0,0.8806271207395723,0.0,0.0,0.0,0.0,0.0,0.0,4.037154034230742,2.816619093649355
MAR0955,2011-02-15,2.0,0.0,1.0,8.0,5.0,1.0,24.0,24.0,16.0,24.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865475,1.7503972150553782,6.376811733630674,7.873752215970787,7.681145747868608,7.681145747868608,7.681145747868608,6.74524797893002,2.3302797136346527,6.0,0.0,0.0,0.0,0.0,0.0,7.681145747868609,0.0,0.0,0.0,3.384001086472271,2.8075092317172015
RKD0604,2010-07-15,2.0,1.0,1.0,9.0,9.0,1.0,22.0,22.0,22.0,22.0,0.0,8.0,6.0,3.0,0.0,0.0,0.0,6.0,4.0,0.0,132483.0,0.0,0.0,5.385164807134504,0.6807456457050176,1.8015273925812858,7.352063380498324,7.352063380498324,7.220018606810905,7.220018606810905,7.220018606810905,7.220018606810905,0.64315977241515,8.219803746721157,1.2359912436623184,0.0,0.8716633636594728,0.0,0.0,0.0,0.0,0.0,0.0,4.009550685690361,2.797360943504903
MCF0600,2010-09-24,2.0,1.0,1.0,8.0,8.0,1.0,27.0,27.0,27.0,27.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7807575065911618,0.0,1.0119494213888698,6.497968402722947,6.497968402722947,7.681145747868608,7.681145747868608,7.681145747868608,7.681145747868608,1.0249551540650879,3.148863849402352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.3082657938539306,2.7964645073399517
RSC0089,2010-11-20,3.0,3.0,2.0,9.0,9.0,1.0,10.0,10.0,10.0,9.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,5.0,4.0,0.0,113698.0,5.0,0.0,5.181036310903635,1.1931825081742993,0.9794828225153116,7.420621707253452,0.7204293308817722,1.8944185329060692,1.9998129947087764,1.9998129947087764,10.0,0.0,5.143232910472627,1.2692842320138242,0.0,0.8842866522133805,6.0,0.0,1.8564249667492758,0.0,0.0,7.681145747868609,2.9466951746294447,2.788975064495271
AHD0848,2011-01-02,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,36941.0,1.0,0.0,4.526338060934527,0.41026679461746246,0.6881231887361996,10.0,3.3294882766697014,3.0804289144847226,3.0804289144847226,3.0804289144847226,5.20187651435287,4.430993531650513,10.0,2.0000000000000004,5.385164807134504,2.0330489306253416,3.7416573867739418,0.0,0.0,0.0,0.0,0.0,3.9627868286383934,2.7647349967244605
